YearMonth,DATE,FED Rate,Indice des prix à la consommation (IPC),Core PCE excluding Food and Energy,Inflation 'noyau' (Core CPI),Taux de chômage,Taux de participation au marché du travail,Créations d'emplois non agricoles (Nonfarm Payrolls),Produit intérieur brut (PIB),Ventes au détail,Indice de confiance des consommateurs du Conference Board,Indice des prix à la production (PPI),New Home Sales,Indice des prix à la consommation (IPC)_change_prev_period,Indice des prix à la consommation (IPC)_change_prev_year,Core PCE excluding Food and Energy_change_prev_period,Core PCE excluding Food and Energy_change_prev_year,Inflation 'noyau' (Core CPI)_change_prev_period,Inflation 'noyau' (Core CPI)_change_prev_year,Taux de chômage_change_prev_period,Taux de chômage_change_prev_year,Taux de participation au marché du travail_change_prev_period,Taux de participation au marché du travail_change_prev_year,Créations d'emplois non agricoles (Nonfarm Payrolls)_change_prev_period,Créations d'emplois non agricoles (Nonfarm Payrolls)_change_prev_year,Produit intérieur brut (PIB)_change_prev_period,Produit intérieur brut (PIB)_change_prev_year,Ventes au détail_change_prev_period,Ventes au détail_change_prev_year,Indice de confiance des consommateurs du Conference Board_change_prev_period,Indice de confiance des consommateurs du Conference Board_change_prev_year,Indice des prix à la production (PPI)_change_prev_period,Indice des prix à la production (PPI)_change_prev_year,New Home Sales_change_prev_period,New Home Sales_change_prev_year,FED Rate_change_prev_period,Rate Change Indicator,USGG10YR Index,USGG5YR Index,USGG13Week Index,DXY Curncy
2017-07,2017-07-31,1.07,244.243,100.01,251.985,4.3,62.9,146772.0,19660.766,19823.602552180768,-0.57015,193.5,572.0,0.03276499715354486,1.7251073506566073,0.07304601899196239,1.5031107592688553,0.09493696026947607,1.6769627444729984,0.0,-10.416666666666663,0.15923566878981443,0.15923566878981443,0.12552187082162103,1.5617755942289646,0.26146689050157157,2.410821412174591,0.15713801380226045,1.8516887975263518,2.39762931034484,63.282547683143385,-0.05165289256198191,3.090037293553549,-7.592891760904685,-8.917197452229297,0.010000000000000009,3,2.2920000553131104,1.8320000171661377,1.0529999732971191,92.86000061035156
2017-08,2017-08-31,1.07,245.183,100.118,252.535,4.4,62.9,146907.0,19734.628,19855.682318964165,-0.54632,193.8,556.0,0.38486261632881824,1.92812155729698,0.1079892010798833,1.433593710424197,0.2182669603349341,1.6552412618799472,2.3255813953488413,-10.204081632653061,0.0,0.0,0.09197939661516052,1.5504894099430455,0.37568220892310045,2.6059793039292733,0.1618261196417503,1.8628072318549016,-4.179601859159876,59.89229688597519,0.15503875968991832,3.8585209003215493,-2.7972027972028024,-3.304347826086962,0.0,2,2.121000051498413,1.7070000171661377,0.9779999852180481,92.66999816894531
2017-09,2017-09-30,1.06,246.435,100.24,252.812,4.3,63.1,146999.0,19808.489999999998,19887.762085747563,-0.565,194.8,637.0,0.5106389920997767,2.1805652303711787,0.12185620967257726,1.4225873687192525,0.10968776605224662,1.5953898457655935,-2.272727272727282,-14.000000000000002,0.31796502384737746,0.31796502384737746,0.06262465369246684,1.4058953787570383,0.37427612012750355,2.8004186785317797,0.16156466581236373,1.8738922131842806,3.419241470200607,77.06048260733311,0.5159958720330149,4.226859283039053,14.568345323741006,14.157706093189958,-0.010000000000000009,1,2.3259999752044678,1.9279999732971191,1.027999997138977,93.08000183105469
2017-10,2017-10-31,1.07,246.626,100.486,253.526,4.2,62.7,147146.0,19882.352,19919.84185253096,-0.59729,194.9,626.0,0.07750522450138408,2.020757753132485,0.24541101356745365,1.5410111053849596,0.2824233026913259,1.7596390813271245,-2.3255813953488302,-14.28571428571429,-0.6339144215530834,-0.15923566878980333,0.10000068027673503,1.4317324859205005,0.37288051739432504,2.9941434967617697,0.16130405545422555,1.8849438922671213,5.715044247787615,66.04303347047704,0.051334702258731824,4.3920728441349866,-1.7268445839874413,8.869565217391306,0.010000000000000009,3,2.375999927520752,2.009999990463257,1.1230000257492065,94.55000305175781
2017-11,2017-11-30,1.07,247.284,100.535,253.816,4.2,62.7,147375.0,19936.26033333333,19952.951271072423,-0.61312,195.9,711.0,0.2668007428251684,2.172493864295566,0.04876301176282016,1.5453764961365524,0.11438669012251435,1.7376072726981162,0.0,-10.63829787234043,0.0,0.0,0.15562774387343214,1.5063228365980619,0.27113660060607003,3.106060544678302,0.16621326005785697,1.9000537982898358,2.6503038724907446,46.33284803933269,0.5130836326321164,5.152979066022545,13.57827476038338,24.518388791593694,0.0,2,2.4170000553131104,2.1440000534057617,1.2380000352859497,93.01000213623047
2017-12,2017-12-31,1.33,247.805,100.683,254.344,4.1,62.7,147521.0,19990.16866666667,19986.060689613885,-0.62306,196.3,630.0,0.21068892447551058,2.129930719552253,0.14721241358732762,1.5768765133171936,0.20802471081413643,1.770166453265043,-2.3809523809523947,-12.765957446808518,0.0,0.0,0.09906700593722562,1.4517571006120722,0.2704034379165998,3.217615492514958,0.16593745001254323,1.9151181015180097,1.621216075156573,36.834014143277535,0.20418580908627693,4.303931987247611,-11.392405063291145,12.299465240641716,0.26,3,2.4049999713897705,2.2060000896453857,1.3550000190734863,92.12000274658203
2018-01,2018-01-31,1.34,248.859,101.007,255.204,4.0,62.7,147667.0,20044.077,20019.170108155347,-0.60727,197.9,590.0,0.42533443635115464,2.151318868063945,0.32180209171359664,1.6320370277204788,0.33812474444061547,1.8912671130328462,-2.4390243902438935,-14.893617021276595,0.0,-0.15923566878980333,0.09896896035139768,1.3945727704688382,0.2696742295287491,3.328810094759116,0.16566255379515393,1.9301370080894165,-2.534266362790094,28.129549530541187,0.8150789607743292,3.775563712637653,-6.349206349206349,2.9668411867364686,0.010000000000000009,3,2.7200000286102295,2.5239999294281006,1.4299999475479126,89.12999725341797
2018-02,2018-02-28,1.35,249.529,101.198,255.711,4.1,63.0,148054.0,20079.543333333335,20053.35313021206,-0.53621,199.3,618.0,0.26922876006090224,2.263468931091861,0.18909580524120173,1.6442181175359671,0.1986645977335888,1.87770420481439,2.499999999999991,-10.869565217391308,0.4784688995215225,0.15898251192369983,0.26207615784163973,1.512533596621135,0.1769417136709972,3.318823946397176,0.17075144410101384,1.948099020238181,-11.701549557857295,14.298808432630604,0.707427993936327,4.018789144050117,4.745762711864399,5.28109028960817,0.010000000000000009,3,2.868000030517578,2.6500000953674316,1.6180000305175781,90.61000061035156
2018-03,2018-03-31,1.67,249.577,101.419,256.271,4.0,62.9,148280.0,20115.009666666665,20087.53615226877,-0.48027,199.3,679.0,0.0192362410782021,2.3309497646499366,0.21838376252496516,1.909183171052753,0.21899722733866867,2.1227843662331214,-2.4390243902438935,-9.090909090909093,-0.15873015873015817,0.0,0.1526470071730568,1.5783416452019416,0.1766291829677913,3.3088749325676403,0.17046038053960544,1.9660061996798595,-10.43247981201395,4.766371449762219,0.0,4.073107049608371,9.870550161812307,7.436708860759489,0.31999999999999984,3,2.740999937057495,2.562000036239624,1.6699999570846558,90.1500015258789
2018-04,2018-04-30,1.69,250.227,101.602,256.63,4.0,62.9,148426.0,20150.476,20121.719174325484,-0.52044,200.3,642.0,0.2604406656061986,2.4709963021052994,0.18043956260662686,1.8842192874261698,0.1400860807504456,2.150644636125887,0.0,-9.090909090909093,0.0,-0.15873015873015817,0.09846236849204715,1.541324321181059,0.17631775435886787,3.2989628465220244,0.17017030758574858,1.9838587971138688,8.3640452245612,7.225415662278256,0.5017561465127995,3.782383419689128,-5.449189985272462,7.35785953177257,0.020000000000000018,3,2.936000108718872,2.7890000343322754,1.7630000114440918,91.83999633789062
